UNITID,CAMPUSID,PCINSTNM,PCADDR,PCCITY,PCSTABBR,PCZIP,PCFIPS,PCOBEREG,PCCHFNM,PCCHFTITLE,PCGENTELE,PCEIN,PCDUNS,PCOPEID,PCOPEFLAG,OLDUNITID,PCWEBADDR,PCADMINURL,PCFAIDURL,PCAPPLURL,PCNPRICURL,PCVETURL,PCATHURL,PCDISAURL,PCSECTOR,PCICLEVEL,PCCONTROL,PCHLOFFER,PCUGOFFER,PCGROFFER,PCHDEGOFR1,PCDEGGRANT,PCHBCU,PCTRIBAL,PCLOCALE,PCOPENPUBL,PCACT,PCCYACTIVE,PCPOSTSEC,PCPSEFLAG,PCPSET4FLG,PCCBSA,PCCBSATYPE,PCCSA,PCNECTA,PCCOUNTYCD,PCCOUNTYNM,PCCNGDSTCD,PCLONGITUD,PCLATITUDE,PCLEVEL1,PCLEVEL1A,PCLEVEL1B,PCLEVEL2,PCLEVEL3,PCLEVEL4,PCLEVEL5,PCLEVEL6,PCLEVEL7,PCLEVEL8,PCLEVEL17,PCLEVEL18,PCLEVEL19,PCFT_FTUG,PCALLONCAM,XPCAPPLFEE,PCAPPLFEEU,PCROOM,XPCCHG1AT0,PCCHG1AT0,XPCCHG1AF0,PCCHG1AF0,XPCCHG1AY0,PCCHG1AY0,XPCCHG1AT1,PCCHG1AT1,XPCCHG1AF1,PCCHG1AF1,XPCCHG1AY1,PCCHG1AY1,XPCCHG1AT2,PCCHG1AT2,XPCCHG1AF2,PCCHG1AF2,XPCCHG1AY2,PCCHG1AY2,XPCCHG1AT3,PCCHG1AT3,XPCCHG1AF3,PCCHG1AF3,XPCCHG1AY3,PCCHG1AY3,PCCHG1TGTD,PCCHG1FGTD,XPCCHG2AT0,PCCHG2AT0,XPCCHG2AF0,PCCHG2AF0,XPCCHG2AY0,PCCHG2AY0,XPCCHG2AT1,PCCHG2AT1,XPCCHG2AF1,PCCHG2AF1,XPCCHG2AY1,PCCHG2AY1,XPCCHG2AT2,PCCHG2AT2,XPCCHG2AF2,PCCHG2AF2,XPCCHG2AY2,PCCHG2AY2,XPCCHG2AT3,PCCHG2AT3,XPCCHG2AF3,PCCHG2AF3,XPCCHG2AY3,PCCHG2AY3,PCCHG2TGTD,PCCHG2FGTD,XPCCHG3AT0,PCCHG3AT0,XPCCHG3AF0,PCCHG3AF0,XPCCHG3AY0,PCCHG3AY0,XPCCHG3AT1,PCCHG3AT1,XPCCHG3AF1,PCCHG3AF1,XPCCHG3AY1,PCCHG3AY1,XPCCHG3AT2,PCCHG3AT2,XPCCHG3AF2,PCCHG3AF2,XPCCHG3AY2,PCCHG3AY2,XPCCHG3AT3,PCCHG3AT3,XPCCHG3AF3,PCCHG3AF3,XPCCHG3AY3,PCCHG3AY3,PCCHG3TGTD,PCCHG3FGTD,XPCCHG4AY0,PCCHG4AY0,XPCCHG4AY1,PCCHG4AY1,XPCCHG4AY2,PCCHG4AY2,XPCCHG4AY3,PCCHG4AY3,XPCCHG5AY0,PCCHG5AY0,XPCCHG5AY1,PCCHG5AY1,XPCCHG5AY2,PCCHG5AY2,XPCCHG5AY3,PCCHG5AY3,XPCCHG6AY0,PCCHG6AY0,XPCCHG6AY1,PCCHG6AY1,XPCCHG6AY2,PCCHG6AY2,XPCCHG6AY3,PCCHG6AY3,XPCCHG7AY0,PCCHG7AY0,XPCCHG7AY1,PCCHG7AY1,XPCCHG7AY2,PCCHG7AY2,XPCCHG7AY3,PCCHG7AY3,XPCCHG8AY0,PCCHG8AY0,XPCCHG8AY1,PCCHG8AY1,XPCCHG8AY2,PCCHG8AY2,XPCCHG8AY3,PCCHG8AY3,XPCCHG9AY0,PCCHG9AY0,XPCCHG9AY1,PCCHG9AY1,XPCCHG9AY2,PCCHG9AY2,XPCCHG9AY3,PCCHG9AY3,PCCIPCODE1,XPCCIPLGT1,PCCIPLGTH1,PCPRGMSR1,XPCMTHCMP1,PCMTHCMP1,XPCWKCMP1,PCWKCMP1,XPCLNAYHR1,PCLNAYHR1,XPCLNAYWK1,PCLNAYWK1,XPCCHG1PY0,PCCHG1PY0,XPCCHG1PY1,PCCHG1PY1,XPCCHG1PY2,PCCHG1PY2,XPCCHG1PY3,PCCHG1PY3,XPCCHG4PY0,PCCHG4PY0,XPCCHG4PY1,PCCHG4PY1,XPCCHG4PY2,PCCHG4PY2,XPCCHG4PY3,PCCHG4PY3,XPCCHG5PY0,PCCHG5PY0,XPCCHG5PY1,PCCHG5PY1,XPCCHG5PY2,PCCHG5PY2,XPCCHG5PY3,PCCHG5PY3,XPCCHG6PY0,PCCHG6PY0,XPCCHG6PY1,PCCHG6PY1,XPCCHG6PY2,PCCHG6PY2,XPCCHG6PY3,PCCHG6PY3,XPCCHG7PY0,PCCHG7PY0,XPCCHG7PY1,PCCHG7PY1,XPCCHG7PY2,PCCHG7PY2,XPCCHG7PY3,PCCHG7PY3,XPCCHG8PY0,PCCHG8PY0,XPCCHG8PY1,PCCHG8PY1,XPCCHG8PY2,PCCHG8PY2,XPCCHG8PY3,PCCHG8PY3,XPCCHG9PY0,PCCHG9PY0,XPCCHG9PY1,PCCHG9PY1,XPCCHG9PY2,PCCHG9PY2,XPCCHG9PY3,PCCHG9PY3
124292,1,Thomas Aquinas College - New England,231 Main Street,Northfield,MA,01360-1034,25,1,Michael McLean,President,4138461200,941698615,92519438,2358001,1,494384,https://thomasaquinas.edu/,https://thomasaquinas.edu/admissions,https://thomasaquinas.edu/financialaid,https://thomasaquinas.edu/admissions/apply,https://thomasaquinas.edu/admission/net-price-calculator-financial-aid-calculator, , ,https://dev-thomas-aquinas.pantheonsite.io/sites/default/files/media/file/ServicesToStudentsWithDisabilities.pdf,2,1,2,5,1,2,30,1,2,2,42,1,A ,1,1,1,1,44140,1,-2,73300,25011,Franklin County,2502,-72.444887,42.714545,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,R,0,1,A,.,A,.,A,.,R,25600,R,0,R,25600,R,26000,R,0,R,26000,R,26000,R,0,R,26000,.,.,A,.,A,.,A,.,R,25600,R,0,R,25600,R,26000,R,0,R,26000,R,26000,R,0,R,26000,.,.,A,.,A,.,A,.,R,25600,R,0,R,25600,R,26000,R,0,R,26000,R,26000,R,0,R,26000,.,.,A,.,R,0,R,0,R,0,A,.,R,8800,R,9400,R,9400,A,.,R,3764,R,2980,R,3028,A,.,R,15084,R,16580,R,17252,A,.,R,5322,R,4690,R,4810,A,.,R,4746,R,4210,R,4324,-2,A,.,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.
125091,1,Victor Valley Community College - Aviation Technol,18368 Phantom West,Victorville,CA,92394-7929,6,8,"Daniel Walden, Ph.D.",Superintendent/President,7602469794,956006576,73583577,133501,1,495332,www.vvc.edu/academic/aviation-tech/,https://www.vvc.edu/admissions-records,https://www.vvc.edu/financial-aid,https://www.vvc.edu/apply,https://misweb.cccco.edu/npc/991/npcalc.htm,https://www.vvc.edu/veterans-resource-center-0, ,https://www.vvc.edu/access-resource-center-2,4,2,1,4,1,2,40,1,2,2,21,1,A ,1,1,1,1,40140,1,348,-2,6071,San Bernardino County,608,-117.378228,34.584687,0,0,0,1,1,1,0,0,0,0,0,0,0,1,2,R,0,2,A,.,A,.,A,.,A,.,A,.,A,.,R,1402,R,22,R,1424,R,1424,R,23,R,1447,.,.,A,.,A,.,A,.,A,.,A,.,A,.,R,1402,R,22,R,1424,R,1424,R,23,R,1447,.,.,A,.,A,.,A,.,A,.,A,.,A,.,R,9352,R,22,R,9374,R,9210,R,23,R,9233,.,.,A,.,A,.,R,1971,R,1917,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,15084,R,17253,A,.,A,.,R,3996,R,3843,A,.,A,.,R,3564,R,3276,-2,A,.,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.
126012,1,Wright Institute (The) -,2501 9th Street,Berkeley,CA,94710-2254,6,8,Peter Dybwad,President,5108419230,941674865,40019432,884601,1,491385,wi.edu/,www.wi.edu/admission,www.wi.edu/tuition-financial-aid,www.wi.edu/admission-apply-online, , , ,www.wi.edu/disability-services,2,1,2,7,2,1,20,1,2,2,12,1,A ,1,1,1,1,41860,1,488,-2,6001,Alameda County,613,-122.291518,37.860543,0,0,0,0,0,0,0,0,1,0,0,0,0,2,-2,A,,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,-2,A,.,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.
126827,3,Colorado Technical University-Denver South,3151 S Vaughn Way,Aurora,CO,80014,8,7,Andrew Hurst,University President,3036322300,840558510,75755157,1014802,1,430087,www.coloradotech.edu/Denver,www.coloradotech.edu/admissions,www.coloradotech.edu/financial-aid, ,coloradotech.studentaidcalculator.com/survey.aspx,www.coloradotech.edu/media/default/ctu/documents/tuition-and-financial-aid/Tuition-and-Fees-DENAUR-MIL.pdf, ,coloradotech.smartcatalogiq.com/en/current/Catalog,3,1,3,9,1,1,13,1,2,2,11,1,A ,1,1,1,1,19740,1,216,-2,8005,Arapahoe County,806,-104.838624,39.659452,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,R,0,1,R,11182,R,300,R,11482,R,10980,R,225,R,11205,R,10880,R,225,R,11105,R,10773,R,225,R,10998,.,.,R,11182,R,300,R,11482,R,10980,R,225,R,11205,R,10880,R,225,R,11105,R,10773,R,225,R,10998,.,.,R,11182,R,300,R,11482,R,10980,R,225,R,11205,R,10880,R,225,R,11105,R,10773,R,225,R,10998,.,.,R,1414,R,1212,R,1211,R,1209,A,.,A,.,A,.,R,10528,A,.,A,.,A,.,R,2800,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,-2,A,.,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.
126979,1,Denver Seminary - Washington DC,3600 Brightseat Road,Landover,MD,20785-2414,24,2,Don Payne,Vice President of Academic Affairs / Academic Dean,3017733600,840421879,80373897,135201,1,487542,www.denverseminary.edu/dc/,www.denverseminary.edu/admissions/,www.denverseminary.edu/admissions/financial-aid/,www.denverseminary.edu/admissions/admission-application/,www.denverseminary.edu/admissions/financial-aid/financial-aid-calculator/, , ,www.denverseminary.edu/current-students/student-resources/,2,1,2,7,2,1,20,1,2,2,21,1,A ,1,1,1,1,47900,1,548,-2,24033,Prince George's County,2404,-76.858845,38.935528,0,0,0,0,0,0,0,1,1,0,0,0,0,2,-2,A,,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,-2,A,.,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.
126979,2,Denver Seminary - West Texas,1100 S. Harrison,Amarillo,TX,79110,48,6,Dr. Don Payne,Vice President of Academic Affairs / Academic Dean,8068810775,840421879,80373897,135202,5,492388,www.denverseminary.edu/texas/,www.denverseminary.edu/admissions/,www.denverseminary.edu/admissions/financial-aid/,www.denverseminary.edu/admissions/admission-application/,www.denverseminary.edu/admissions/financial-aid/financial-aid-calculator/, , ,www.denverseminary.edu/current-students/student-resources/,2,1,2,7,2,1,20,1,2,2,12,1,A ,1,1,1,2,11100,1,108,-2,48375,Potter County,4813,-101.841192,35.20249,0,0,0,0,0,0,0,0,1,0,0,0,0,2,-2,A,,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,-2,A,.,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.
127778,1,Otero Junior College - La Junta High School,1817 Smithland Ave,La Junta,CO,81050-3346,8,7,Timothy Alvarez,President,7193846831,846001770,89498182,136201,1,492333,https://www.ojc.edu/,https://www.ojc.edu/,https://www.ojc.edu/,https://www.ojc.edu/,https://www.ojc.edu/,https://www.dodmou.com/,https://www.ojc.edu/,https://www.ojc.edu/,4,2,1,3,1,2,40,1,2,2,33,1,A ,1,1,1,1,-2,-2,-2,-2,8089,Otero County,804,-103.538319,37.970544,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,R,0,2,A,.,A,.,A,.,R,3574,R,412,R,3986,R,3680,R,420,R,4100,R,3680,R,427,R,4107,0,2,A,.,A,.,A,.,R,3574,R,412,R,3986,R,3680,R,420,R,4100,R,3680,R,427,R,4107,0,2,A,.,A,.,A,.,R,5957,R,412,R,6369,R,6136,R,420,R,6556,R,6136,R,427,R,6563,0,2,A,.,R,1800,R,1800,R,1850,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,11861,R,12188,R,12493,A,.,R,5547,R,5598,R,5651,A,.,R,8598,R,8813,R,9043,-2,A,.,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.
127778,3,Otero Junior College - Fort Lyon Colorado Coalitio,30999 County Road 15,Las Animas,CO,81054-9499,8,7,Timothy Alvarez,President,7193846831,846001770,89498182,136203,5,492351,https://www.ojc.edu/,https://www.ojc.edu/,https://www.ojc.edu/,https://www.ojc.edu/,https://www.ojc.edu/,https://www.dodmou.com/,https://www.ojc.edu/,https://www.ojc.edu/,4,2,1,3,1,2,40,1,2,2,42,1,A ,1,1,1,2,-2,-2,-2,-2,8011,Bent County,804,-103.131373,38.074747,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,R,0,2,A,.,A,.,A,.,A,.,A,.,A,.,R,3680,R,420,R,4100,R,3680,R,427,R,4107,0,2,A,.,A,.,A,.,A,.,A,.,A,.,R,3680,R,420,R,4100,R,3680,R,427,R,4107,0,2,A,.,A,.,A,.,A,.,A,.,A,.,R,6136,R,420,R,6556,R,6136,R,427,R,6563,0,2,A,.,A,.,R,1800,R,1850,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,12188,R,12493,A,.,A,.,R,5598,R,5561,A,.,A,.,R,8813,R,9043,-2,A,.,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.
129808,1,Three Rivers Community College - Corrigan-Radgowsk,982 Norwich-New London Turnpike,Uncasville,CT,06382-0638,9,1,Kem Barfield,Dean of Academic and Student Affairs,8608485072, , ,976504,1,492768,https://www.threerivers.edu/,https://www.threerivers.edu/admissions/,https://www.threerivers.edu/admissions/how-to-enroll/financial-aid-scholarships/,https://ssb-prod.ec.commnet.edu/pls/k/bwskalog.P_DispLoginNon,https://www.threerivers.edu/paying-for-trcc/net-price-calculator/,https://www.threerivers.edu/student-life/support-services/veterans/, ,www.threerivers.edu/student-life/support-services/disability-services-accommodations/,7,3,1,2,1,2,0,2,2,2,22,1,A ,1,1,1,1,35980,1,278,76450,9011,New London County,902,-72.11034,41.452711,0,0,0,1,0,0,0,0,0,0,0,0,0,2,-2,C,0,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,-2,A,.,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.
129808,2,Three Rivers Community College - York Correctional,201 West Main Street,Niantic,CT,06357-1904,9,1,Kem Barfield,Dean of Academic & Student Affairs,8602159004, , ,976505,1,492777,https://www.threerivers.edu/,https://www.threerivers.edu/admissions,https://www.threerivers.edu/admissions/how-to-enroll/financial-aid-scholarships/,https://ssb-prod.ec.commnet.edu/pls/k/bwskalog.P_DispLoginNon,https://www.threerivers.edu/paying-for-trcc/net-price-calculator/,https://www.threerivers.edu/student-life/support-services/veterans/, ,https://www.threerivers.edu/student-life/support-services/disability-services-accommodations/,7,3,1,2,1,2,0,2,2,2,22,1,A ,1,1,1,1,35980,1,278,76450,9011,New London County,902,-72.235894,41.322272,0,0,0,1,0,0,0,0,0,0,0,0,0,2,-2,C,0,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,-2,A,.,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.
130174,1,Porter and Chester Institute of Rocky Hill,30 Waterchase Drive,Rocky Hill,CT,06067-1400,9,1,James A. Bologa,"President, CEO",8605292519,60852205, ,1077910,1,130147,www.porterchester.edu/,www.porterchester.edu/admissions/,www.porterchester.edu/financial-aid/,www.porterchester.edu/apply-online/,www.porterchester.edu/financial-aid/calculator/, , ,www.porterchester.edu/,9,3,3,2,1,2,0,2,2,2,21,1,A ,1,1,1,1,25540,1,278,73450,9003,Hartford County,901,-72.654475,41.67639,0,0,0,1,0,0,-2,-2,-2,-2,-2,-2,-2,1,2,R,25,2,R,17220,R,0,R,17220,R,17220,R,0,R,17220,R,17590,R,0,R,17590,R,15555,R,220,R,15775,0,0,R,17220,R,0,R,17220,R,17220,R,0,R,17220,R,17590,R,0,R,17590,R,15555,R,220,R,15775,.,.,R,17220,R,0,R,17220,R,17220,R,0,R,17220,R,17590,R,0,R,17590,R,15555,R,220,R,15775,.,.,R,1700,R,1700,R,1750,R,2040,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,13005,R,13005,R,13005,R,11560,R,4113,R,4113,R,4113,R,3744,R,4113,R,4113,R,4113,R,3744,-2,A,.,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.
130174,2,Porter and Chester Institute of Enfield,33 Palumba Drive,Enfield,CT,06082-1400,9,1,James A. Bologa,"President, CEO",8607412561,60852205, ,1077903,1,130156,www.porterchester.edu/,www.porterchester.edu/admissions/,www.porterchester.edu/financial-aid/,www.porterchester.edu/apply-online/,www.porterchester.edu/financial-aid/calculator/, , ,www.porterchester.edu/,9,3,3,2,1,2,0,2,2,2,21,1,A ,1,1,1,1,25540,1,278,78100,9003,Hartford County,902,-72.571183,41.995191,0,0,0,1,0,0,-2,-2,-2,-2,-2,-2,-2,1,2,R,25,2,R,17220,R,0,R,17220,R,17940,R,0,R,17940,R,17940,R,0,R,17940,R,17940,R,220,R,18160,0,0,R,17220,R,0,R,17220,R,17940,R,0,R,17940,R,17940,R,0,R,17940,R,17940,R,220,R,18160,.,.,R,17220,R,0,R,17220,R,17940,R,0,R,17940,R,17940,R,0,R,17940,R,17940,R,220,R,18160,.,.,R,1700,R,1560,R,1600,R,1593,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,13005,R,13005,R,13005,R,11560,R,4113,R,4113,R,4113,R,3744,R,4113,R,4113,R,4113,R,3744,-2,A,.,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.
130174,3,Porter and Chester Institute of Waterbury,881 Wolcott Street,Waterbury,CT,6705,9,1,James A. Bologa,"President, CEO",8602749294,60852205, ,1077902,1,130165,www.porterchester.edu/,www.porterchester.edu/admissions/,www.porterchester.edu/financial-aid/,www.porterchester.edu/apply-online/,www.porterchester.edu/financial-aid/calculator/, , ,www.porterchester.edu/,9,3,3,2,1,2,0,2,2,2,22,1,A ,1,1,1,1,35300,1,408,78700,9009,New Haven County,905,-73.010164,41.566335,0,0,0,1,0,0,-2,-2,-2,-2,-2,-2,-2,1,2,R,25,2,R,17220,R,0,R,17220,R,17220,R,0,R,17220,R,17590,R,0,R,17590,R,15555,R,220,R,15775,0,0,R,17220,R,0,R,17220,R,17220,R,0,R,17220,R,17590,R,0,R,17590,R,15555,R,220,R,15775,.,.,R,17220,R,0,R,17220,R,17220,R,0,R,17220,R,17590,R,0,R,17590,R,15555,R,220,R,15775,.,.,R,1700,R,1700,R,1750,R,2040,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,13005,R,13005,R,13005,R,11560,R,4113,R,4113,R,4113,R,3744,R,4113,R,4113,R,4113,R,3744,-2,A,.,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.
130174,5,Porter and Chester Institute of Worcester,220 Brooks Street,Worcester,MA,1606,25,1,James A. Bologa,"President, CEO",5083660296,60852205, ,1077906,1,456533,www.porterchester.edu/,www.porterchester.edu/admissions/,www.porterchester.edu/financial-aid/,www.porterchester.edu/apply-online/,www.porterchester.edu/financial-aid/calculator/, , ,www.porterchester.edu/,9,3,3,2,1,2,0,2,2,2,12,1,A ,1,1,1,1,49340,1,148,79600,25027,Worcester County,2502,-71.799984,42.318117,0,0,0,1,0,0,-2,-2,-2,-2,-2,-2,-2,1,2,R,25,2,R,17220,R,0,R,17220,R,17220,R,0,R,17220,R,17590,R,0,R,17590,R,15555,R,220,R,15775,0,0,R,17220,R,0,R,17220,R,17220,R,0,R,17220,R,17590,R,0,R,17590,R,15555,R,220,R,15775,.,.,R,17220,R,0,R,17220,R,17220,R,0,R,17220,R,17590,R,0,R,17590,R,15555,R,220,R,15775,.,.,R,1700,R,1700,R,1750,R,2040,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,13005,R,13005,R,13005,R,11560,R,4113,R,4113,R,4113,R,3744,R,4113,R,4113,R,4113,R,3744,-2,A,.,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.
130174,7,Porter and Chester Institute - New London,470 Bank Street,New London,CT,06320-5548,9,1,James A. Bologa,President and CEO,8605749782,60852205, ,1077917,1,494418,porterchester.edu/,porterchester.edu/admissions/,porterchester.edu/financial-aid/,porterchester.edu/applu-online/,porterchester.edu/financial-aid/calculator/, , ,porterchester.edu/,9,3,3,2,1,2,0,2,2,2,13,1,A ,1,1,1,1,35980,1,278,76450,9011,New London County,902,-72.100487,41.349972,0,0,0,1,0,0,-2,-2,-2,-2,-2,-2,-2,1,2,R,25,2,A,.,A,.,A,.,R,17740,R,0,R,17740,R,17590,R,0,R,17590,R,15555,R,220,R,15775,0,0,A,.,A,.,A,.,R,17740,R,0,R,17740,R,17590,R,0,R,17590,R,15555,R,220,R,15775,.,.,A,.,A,.,A,.,R,17740,R,0,R,17740,R,17590,R,0,R,17590,R,15555,R,220,R,15775,.,.,A,.,R,2330,R,2330,R,2040,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,13005,R,13005,R,11560,A,.,R,4113,R,4113,R,3744,A,.,R,4113,R,4113,R,3744,-2,A,.,-2,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.
