UNITID-PK,AWLEVELC-PK,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSASIAT,CSASIAT,XCSBKAAT,CSBKAAT,XCSHISPT,CSHISPT,XCSNHPIT,CSNHPIT,XCSWHITT,CSWHITT,XCS2MORT,CS2MORT,XCSUNKNT,CSUNKNT,XCSNRALT,CSNRALT,XCSUND18,CSUND18,XCS18_24,CS18_24,XCS25_39,CS25_39,XCSABV40,CSABV40,XCSUNKN,CSUNKN  
174251,5,R,247,R,103,R,144,R,16,R,9,R,5,R,17,R,0,R,158,R,28,R,0,R,14,R,0,R,229,R,17,R,0,R,1
174321,2,R,54,R,3,R,51,R,0,R,2,R,4,R,4,R,0,R,42,R,2,R,0,R,0,R,0,R,54,R,0,R,0,R,0
174321,12,R,35,R,0,R,35,R,0,R,1,R,5,R,2,R,0,R,24,R,3,Z,0,R,0,R,0,R,35,R,0,R,0,R,0
174358,3,R,7,R,0,R,7,R,0,R,0,R,0,R,0,R,0,R,7,R,0,R,0,R,0,R,0,R,6,R,1,R,0,R,0
174358,5,R,996,R,404,R,592,R,7,R,21,R,50,R,35,R,1,R,760,R,41,R,6,R,75,R,0,R,709,R,238,R,49,R,0
174358,7,R,278,R,60,R,218,R,4,R,3,R,1,R,4,R,0,R,250,R,10,R,1,R,5,R,0,R,50,R,182,R,46,R,0
174358,9,R,17,R,2,R,15,R,0,R,1,R,1,R,0,R,0,R,14,R,1,R,0,R,0,R,0,R,0,R,8,R,9,R,0
174358,10,R,45,R,10,R,35,R,1,R,0,R,1,R,0,R,0,R,42,R,0,R,0,R,1,R,0,R,4,R,28,R,13,R,0
174358,12,R,60,R,29,R,31,R,1,R,0,R,5,R,1,R,0,R,42,R,3,R,0,R,8,R,0,R,39,R,13,R,8,R,0
174376,2,R,12,R,3,R,9,R,0,R,0,R,0,R,0,R,0,R,9,R,0,R,2,R,1,R,0,R,1,R,5,R,6,R,0
174376,3,R,604,R,241,R,363,R,4,R,96,R,104,R,38,R,0,R,328,R,23,R,0,R,11,R,7,R,293,R,243,R,61,R,0
174376,12,R,413,R,196,R,217,R,0,R,68,R,82,R,35,R,1,R,196,R,21,R,0,R,10,R,1,R,175,R,173,R,64,R,0
174428,3,R,1156,R,451,R,705,R,6,R,117,R,128,R,110,R,3,R,707,R,65,R,9,R,11,R,24,R,719,R,343,R,69,R,1
174428,11,R,28,R,2,R,26,R,0,R,7,R,3,R,1,R,0,R,16,R,1,R,0,R,0,R,24,R,4,R,0,R,0,R,0
174428,12,R,119,R,37,R,82,R,1,R,11,R,12,R,22,R,0,R,64,R,6,R,2,R,1,R,1,R,47,R,43,R,27,R,1
174437,3,R,9,R,4,R,5,R,0,R,0,R,2,R,1,R,0,R,5,R,0,R,1,R,0,Z,0,R,9,Z,0,Z,0,Z,0
174437,5,R,193,R,72,R,121,R,0,R,8,R,11,R,16,R,2,R,131,R,11,R,14,R,0,R,0,R,153,R,31,R,9,R,0
174437,7,R,33,R,18,R,15,R,0,R,0,R,8,R,0,R,0,R,24,R,0,R,1,R,0,R,0,R,3,R,16,R,14,R,0
174437,12,R,1,R,0,R,1,R,0,R,0,R,0,R,0,R,0,R,1,R,0,R,0,R,0,Z,0,R,1,Z,0,Z,0,Z,0
174473,2,R,241,R,114,R,127,R,2,R,2,R,9,R,9,R,0,R,211,R,5,R,2,R,1,R,0,R,145,R,73,R,22,R,1
174473,3,R,393,R,119,R,274,R,7,R,7,R,26,R,7,R,1,R,327,R,14,R,2,R,2,R,1,R,221,R,148,R,23,R,0
174473,11,R,64,R,9,R,55,R,0,R,3,R,4,R,1,R,0,R,52,R,1,R,1,R,2,R,5,R,36,R,22,R,1,R,0
174473,12,R,115,R,64,R,51,R,2,R,2,R,4,R,5,R,0,R,94,R,5,R,3,R,0,R,0,R,71,R,27,R,17,R,0
174491,2,R,1,R,0,R,1,R,0,R,0,R,0,R,0,R,0,R,1,R,0,R,0,R,0,R,0,R,1,R,0,R,0,R,0
174491,3,R,16,R,6,R,10,Z,0,Z,0,Z,0,Z,0,Z,0,R,14,R,2,Z,0,Z,0,R,2,R,14,Z,0,Z,0,Z,0
174491,5,R,477,R,181,R,296,Z,0,R,12,R,12,R,20,Z,0,R,390,R,23,R,15,R,5,Z,0,R,383,R,72,R,22,Z,0
174491,7,R,51,R,24,R,27,R,1,Z,0,R,3,R,1,Z,0,R,43,R,1,Z,0,R,2,Z,0,R,5,R,27,R,19,Z,0
174491,10,R,4,Z,0,R,4,Z,0,Z,0,Z,0,Z,0,Z,0,R,4,Z,0,Z,0,Z,0,Z,0,Z,0,R,2,R,2,Z,0
174507,2,R,10,R,3,R,7,R,0,R,1,R,0,R,0,R,0,R,2,R,0,R,7,R,0,R,0,R,5,R,5,R,0,R,0
174507,3,R,25,R,5,R,20,Z,0,Z,0,R,1,Z,0,Z,0,R,6,Z,0,R,18,Z,0,R,0,R,10,R,13,R,2,R,0
174507,5,R,19,R,8,R,11,Z,0,Z,0,Z,0,Z,0,Z,0,R,11,Z,0,R,7,R,1,Z,0,R,8,R,11,Z,0,Z,0
174507,7,R,21,R,3,R,18,R,1,Z,0,Z,0,Z,0,Z,0,R,6,Z,0,R,14,Z,0,R,0,R,2,R,13,R,6,R,0
174507,9,R,189,R,87,R,102,Z,0,R,3,R,1,R,1,Z,0,R,68,Z,0,R,93,R,23,R,0,R,13,R,170,R,3,R,3
174525,3,R,5,R,4,R,1,Z,0,R,0,R,0,Z,0,Z,0,R,4,R,1,Z,0,Z,0,R,0,R,3,R,2,R,0,Z,0
174525,5,R,13,R,8,R,5,Z,0,R,1,R,1,Z,0,Z,0,R,11,R,0,Z,0,Z,0,R,0,R,5,R,7,R,1,Z,0
174570,2,R,108,R,41,R,67,R,1,R,0,R,2,R,2,R,0,R,101,R,1,R,1,R,0,R,0,R,51,R,39,R,18,R,0
174570,3,R,83,R,31,R,52,R,0,R,0,R,4,R,1,R,0,R,77,R,1,R,0,R,0,R,0,R,46,R,26,R,11,R,0
174570,11,R,53,R,23,R,30,R,0,R,2,R,1,R,3,R,0,R,47,R,0,R,0,R,0,R,17,R,12,R,12,R,12,R,0
174570,12,R,76,R,37,R,39,R,0,R,2,R,1,R,6,R,0,R,66,R,0,R,1,R,0,R,2,R,38,R,21,R,15,R,0
174604,3,R,28,R,13,R,15,R,0,R,0,R,2,R,5,R,0,R,18,R,1,R,2,R,0,R,2,R,23,R,2,R,1,R,0
174604,12,R,1,R,0,R,1,R,0,R,0,R,0,R,0,R,0,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,1,R,0
174738,2,R,92,R,37,R,55,R,1,R,2,R,4,R,7,R,0,R,73,R,5,R,0,R,0,R,0,R,48,R,34,R,10,R,0
